typeSeason,slugSeason,idGame,dateGame,slugMatchup,slugTeamWinner,slugTeamLoser,numberGameDay,season
Regular Season,1989-90,28900001,1989-11-03,LAC vs. HOU,LAC,HOU,1,1990
Regular Season,1989-90,28900002,1989-11-03,ATL vs. IND,IND,ATL,2,1990
Regular Season,1989-90,28900003,1989-11-03,PHX vs. GOS,PHX,GOS,3,1990
Regular Season,1989-90,28900004,1989-11-03,LAL @ DAL,LAL,DAL,4,1990
Regular Season,1989-90,28900005,1989-11-03,DET vs. NYK,DET,NYK,5,1990
Regular Season,1989-90,28900006,1989-11-03,MIA vs. NJN,NJN,MIA,6,1990
Regular Season,1989-90,28900007,1989-11-03,DEN @ UTH,UTH,DEN,7,1990
Regular Season,1989-90,28900008,1989-11-03,MIL @ BOS,BOS,MIL,8,1990
Regular Season,1989-90,28900009,1989-11-03,CLE @ CHI,CHI,CLE,9,1990
Regular Season,1989-90,28900010,1989-11-03,WAS @ CHH,WAS,CHH,10,1990
Regular Season,1989-90,28900011,1989-11-03,POR vs. SAC,POR,SAC,11,1990
Regular Season,1989-90,28900012,1989-11-03,MIN @ SEA,SEA,MIN,12,1990
Regular Season,1989-90,28900013,1989-11-04,MIA @ NYK,NYK,MIA,1,1990
Regular Season,1989-90,28900014,1989-11-04,GOS vs. HOU,HOU,GOS,2,1990
Regular Season,1989-90,28900015,1989-11-04,IND vs. CLE,IND,CLE,3,1990
Regular Season,1989-90,28900016,1989-11-04,SEA @ SAC,SAC,SEA,4,1990
Regular Season,1989-90,28900017,1989-11-04,PHL vs. MIL,MIL,PHL,5,1990
Regular Season,1989-90,28900018,1989-11-04,WAS vs. DET,DET,WAS,6,1990
Regular Season,1989-90,28900019,1989-11-04,SAN vs. LAL,SAN,LAL,7,1990
Regular Season,1989-90,28900020,1989-11-04,DEN vs. PHX,DEN,PHX,8,1990
Regular Season,1989-90,28900021,1989-11-04,CHI vs. BOS,BOS,CHI,9,1990
Regular Season,1989-90,28900022,1989-11-04,ORL vs. NJN,NJN,ORL,10,1990
Regular Season,1989-90,28900023,1989-11-05,POR vs. MIN,POR,MIN,1,1990
Regular Season,1989-90,28900024,1989-11-06,ORL vs. NYK,ORL,NYK,1,1990
Regular Season,1989-90,28900025,1989-11-07,ATL vs. WAS,WAS,ATL,1,1990
Regular Season,1989-90,28900026,1989-11-07,DAL @ SAC,SAC,DAL,2,1990
Regular Season,1989-90,28900027,1989-11-07,HOU vs. POR,HOU,POR,3,1990
Regular Season,1989-90,28900028,1989-11-07,DET @ CHI,CHI,DET,4,1990
Regular Season,1989-90,28900029,1989-11-07,BOS @ MIL,MIL,BOS,5,1990
Regular Season,1989-90,28900030,1989-11-07,LAC @ GOS,GOS,LAC,6,1990
Regular Season,1989-90,28900031,1989-11-07,SEA vs. CHH,SEA,CHH,7,1990
Regular Season,1989-90,28900032,1989-11-07,LAL vs. PHX,LAL,PHX,8,1990
Regular Season,1989-90,28900033,1989-11-07,MIA @ NJN,MIA,NJN,9,1990
Regular Season,1989-90,28900034,1989-11-08,LAC vs. DAL,DAL,LAC,1,1990
