idGame,dateGame,slugMatchup,team1,team2,pts_team1,pts_team2
29600450,1997-01-05,PHX @ BOS,BOS,PHX,109,102
29600642,1997-02-01,PHI @ MIL,PHI,MIL,109,100
29700162,1997-11-22,MIA vs. TOR,MIA,TOR,108,104
29700256,1997-12-06,ORL @ LAC,ORL,LAC,83,79
29700260,1997-12-07,LAC @ DEN,DEN,LAC,100,92
29700492,1998-01-10,GSW @ CHI,CHI,GSW,87,82
29700511,1998-01-13,SEA @ CHI,CHI,SEA,101,91
29700546,1998-01-18,HOU @ CHI,CHI,HOU,106,100
29700596,1998-01-24,LAL @ SEA,SEA,LAL,101,95
29701046,1998-03-31,SEA vs. UTA,SEA,UTA,88,86
29701174,1998-04-17,SAS @ SEA,SAS,SEA,89,87
29800502,1999-04-08,POR @ SEA,SEA,POR,87,86
29800571,1999-04-17,NYK vs. TOR,TOR,NYK,93,90
29900118,1999-11-17,SEA vs. GSW,SEA,GSW,111,108
29900194,1999-11-28,DET vs. ORL,ORL,DET,108,99
29900233,1999-12-04,PHI vs. BOS,PHI,BOS,77,74
29900279,1999-12-10,CHI vs. NJN,CHI,NJN,71,69
29900345,1999-12-19,VAN vs. LAC,VAN,LAC,85,84
29900411,1999-12-29,SAC @ SEA,SAC,SEA,113,104
29900425,2000-01-03,MIL @ PHI,PHI,MIL,124,120
29900712,2000-02-15,BOS @ UTA,BOS,UTA,101,99
29900753,2000-02-21,IND vs. DAL,IND,DAL,94,93
29900792,2000-02-26,DAL vs. DEN,DAL,DEN,98,96
20000294,2000-12-10,DEN @ BOS,BOS,DEN,104,102
20000398,2000-12-26,NJN vs. ATL,ATL,NJN,81,76
20000454,2001-01-03,DAL vs. DET,DET,DAL,107,104
40000008,2001-04-22,NYK vs. TOR,NYK,TOR,92,85
40000047,2001-05-17,MIL @ CHH,MIL,CHH,104,97
20100321,2001-12-15,CHH vs. BOS,BOS,CHH,106,97
20101019,2002-03-27,CHH vs. ORL,CHH,ORL,111,104
20201030,2003-03-26,DEN vs. MIL,DEN,MIL,108,103
20300790,2004-02-20,DET vs. MIN,MIN,DET,88,87
20300860,2004-02-29,DEN vs. NYK,DEN,NYK,107,96
20400248,2004-12-06,TOR @ NJN,NJN,TOR,88,86
20400818,2005-02-26,MEM @ SAS,MEM,SAS,84,82
20401014,2005-03-25,BOS vs. CHI,CHI,BOS,94,86
20600448,2006-12-30,DAL vs. NOK,DAL,NOK,94,80
